ds,yhat
2026-04-27,60.532852205559294
2026-04-28,66.65308606855821
2026-04-29,55.287299125048705
2026-04-30,54.88307268611105
2026-05-01,60.58106407802416
2026-05-02,57.49059857757775
2026-05-03,51.725866340285634
2026-05-04,51.009072217484444
2026-05-05,57.12930608048337
2026-05-06,45.763519136973855
2026-05-07,45.35929269803621
2026-05-08,51.05728408994931
2026-05-09,47.96681858950291
2026-05-10,42.202086352210785
2026-05-11,41.4852922294096
2026-05-12,47.60552609240852
2026-05-13,36.23973914889902
2026-05-14,35.835512709961364
2026-05-15,41.53350410187447
2026-05-16,38.44303860142806
2026-05-17,32.678306364135935
2026-05-18,31.961512241334756
2026-05-19,38.081746104333675
2026-05-20,26.715959160824173
2026-05-21,26.311732721886514
2026-05-22,32.00972411379963
2026-05-23,28.919258613353215
2026-05-24,23.154526376061096
2026-05-25,22.437732253259906
2026-05-26,28.557966116258832
2026-05-27,17.192179172749324
2026-05-28,16.78795273381167
2026-05-29,22.48594412572478
2026-05-30,19.395478625278372
2026-05-31,13.630746387986253
2026-06-01,12.913952265185063
2026-06-02,19.03418612818399
2026-06-03,7.668399184674481
2026-06-04,7.264172745736829
2026-06-05,12.962164137649932
2026-06-06,9.87169863720353
2026-06-07,4.106966399911403
2026-06-08,3.390172277110221
2026-06-09,9.51040614010914
2026-06-10,-1.8553808034003616
2026-06-11,-2.2596072423380202
2026-06-12,3.4383841495750898
2026-06-13,0.34791864912868675
2026-06-14,-5.416813588163432
2026-06-15,-6.133607710964629
2026-06-16,-0.013373847965701735
2026-06-17,-11.379160791475204
2026-06-18,-11.783387230412856
2026-06-19,-6.08539583849976
2026-06-20,-9.175861338946163
2026-06-21,-14.940593576238282
2026-06-22,-15.657387699039464
2026-06-23,-9.537153836040552
2026-06-24,-20.902940779550054
2026-06-25,-21.307167218487706
2026-06-26,-15.609175826574596
2026-06-27,-18.699641327021013
2026-06-28,-24.46437356431313
2026-06-29,-25.181167687114314
2026-06-30,-19.060933824115388
2026-07-01,-30.42672076762489
2026-07-02,-30.830947206562556
2026-07-03,-25.132955814649446
2026-07-04,-28.223421315095848
2026-07-05,-33.98815355238797
2026-07-06,-34.70494767518916
2026-07-07,-28.584713812190238
2026-07-08,-39.950500755699736
2026-07-09,-40.35472719463739
2026-07-10,-34.65673580272429
2026-07-11,-37.7472013031707
2026-07-12,-43.51193354046282
2026-07-13,-44.228727663263996
2026-07-14,-38.10849380026509
2026-07-15,-49.474280743774585
2026-07-16,-49.87850718271224
2026-07-17,-44.18051579079913
2026-07-18,-47.27098129124553
2026-07-19,-53.03571352853767
2026-07-20,-53.752507651338846
2026-07-21,-47.63227378833992
2026-07-22,-58.99806073184942
2026-07-23,-59.40228717078709
2026-07-24,-53.70429577887398
2026-07-25,-56.79476127932038
